Questions,Tag
"It's a good strategy to quiz your tutee, because it would help you understand what it already knows.;;Go to the Quiz tab and click the Quiz button.",It's a good strategy to quiz your tutee
"I see that your tutee failed all quiz items. It can do better with some practice on  two step equations .;; Since it failed on {{ type of equation || two step equation}} on the quiz, giving  {{ example type of equation || 7j+4=2 }}  would help it correct the mistakes.;; Start by putting {{ LHS of equation || 7j+4 }}  on the left hand side and  {{ RHS of equation || 2 }}  on the right hand side of the tutoring interface.",failed all quiz items
"You restarted this problem too many times. How about giving a new problem to your tutee?;;To give a new problem, you have to click the new problem button;;Click the new problem button;",restarted
"I see you restarted this problem too many times. Maybe its best if you give a new problem to your tutee.;; To give a new problem, you have to click the new problem button.;;Click the new problem button.",restarted
"Remember, the video shows you how to teach your tutee. Why don't you watch the video again?",remember
Your tutee has had some practice on the failed quiz problem. It would be good to see if it can solve those problems now.;;Go to the Quiz tab and click the Quiz button.,failed quiz problem
"Your tutee got some/a problems wrong on the quiz. It's a good strategy to teach those problems to help it correct the mistakes.;; Since  {{ problem || 3v+2 = 7 }}  was wrong on the quiz, you may want to give  {{ problem || 3v+2 = 7 }}  to your tutee.;; Start by putting {{ LHS of equation || 7j+4 }}  on the left hand side and  {{ RHS of equation || 2 }}  on the right hand side of the tutoring interface.",some problems wrong
"Your tutee failed again on all quiz items. More practice on  {{ type of equation || two step equation}} can help it pass the quiz!.;;Since it failed on {{ type of equation || two step equation}} on the quiz, giving  {{ example type of equation || 7j+4=2 }}  would help it correct the mistakes.;; Start by putting {{ LHS of equation || 7j+4 }}  on the left hand side and  {{ RHS of equation || 2 }}  on the right hand side of the tutoring interface.",failed again on all
You have reviewed resources more. So teach your tutee to solve equations,reviewed resources
I see that your tutee is having some trouble passing the quiz. You can refresh your memory on {{ type of equation || two step equation}} by going through the available resources;; You should go to the  UnitOrerview  tab and review the section about  {{ type of equation || two step equation}};; Click on the  UnitOverview tab and review the section about  {{ type of equation || two step equation}},trouble passing the quiz
It would be a good idea to go through the Unit Overview - see the tab above.;; Click on the Unit Overview tab.,unit overview
I think its a good idea to go through the Examples - see the tab above. Make sure you understand all the examples.;; Click the Examples tab.,go through the examples
Tutee is asking you to justify your answer. You should answer your tutee’s question.,justify your answer
"It can help your tutee to get more practice on the same type of problem.;;You may want to give  {{problem || 9p+11 = 2}}  , since it is similar to a problem that you already tutored your tutee;;Start by putting {{ LHS of equation || 9p+11 }}  on the left hand side and  {{ RHS of equation || 2 }}  on the right hand side of the tutoring interface.",get more practice on
There is an error somewhere in your tutee’s solution. You should try having your tutee solve the problem again.;;Click the restart button.,error somewhere
Your tutee is asking for help. You should tell it the next step.,asking for help
"Since your tutee passed this quiz section, it would be a good idea to take the quiz on the next section now.;;Go to the Quiz tab and solve a problem of the next section.",passed this quiz section
Your tutee solved the last two problems without getting stuck. Its a good strategy to check if what tutee has learned is correct;;Quizzing it will help you see if what tutee learned is correct or not;; Go to the Quiz tab and click the Quiz button.,last two problems
I see that tutee seems to be solving problems without getting stuck. It would be a good strategy to check if what tutee has learned is correct;;Quizzing it will help you see if what tutee learned is correct or not; Go to the Quiz tab and click the Quiz button.,without getting stuck
"I see tutee passed this quiz section, it might be helpful to understand what else your student knows. So it would be a good idea to quiz tutee again now.;; Go to the Quiz tab and click the Quiz button.",what else your student knows